stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
292659,200832,FATİH MAHALLESİ MUHTARLIĞI,direction: KAVACIK,41.0909860005684,29.1256509999917,0
681188,200841,ÇAMLICA CADDESİ,direction: BURHANİYE PERON,41.033351969811,29.0509710135019,0
681189,200842,ÇAMLICA CADDESİ,direction: KADIKÖY / ÜSKÜDAR,41.0334050005592,29.0510769999906,0
681190,200851,MEFKURE SOKAK,direction: BURHANİYE PERON,41.0324370080983,29.0531689685706,0
681191,200852,MEFKURE SOKAK,direction: KADIKÖY / ÜSKÜDAR,41.032537000559,29.0531669999906,0
290053,200861,ÇATALMEŞE MUHTARLIĞI,direction: NİŞANTEPE,41.0482649991159,29.2421630000099,0
290054,200862,ÇATALMEŞE MUHTARLIĞI,direction: ÜMRANİYE,41.0485850005617,29.2425659999933,0
290055,200871,ÇAMLAR,direction: NİŞANTEPE,41.0472030005615,29.2517899999934,0
290056,200872,ÇAMLAR,direction: KADIKÖY,41.0473650005615,29.2518299999934,0
290057,200881,NİŞANTEPE 1,direction: NİŞANTEPE,41.0440410089175,29.2569969901881,0
290058,200882,NİŞANTEPE 1,direction: ÜMRANİYE,41.044247000561,29.2568799999934,0
290059,200891,NİŞANTEPE İLKOKULU,direction: NİŞANTEPE,41.0442770441842,29.2617589903337,0
290060,200892,NİŞANTEPE İLKOKULU,direction: ÜMRANİYE,41.044376000561,29.2616059999935,0
290061,200901,NİŞANTEPE CADDESİ,direction: NİŞANTEPE,41.0441129799604,29.2631990273099,0
290062,200902,NİŞANTEPE CADDESİ,direction: ÜMRANİYE,41.044283000561,29.2632229999935,0
580050,200911,MENEKŞE CADDESİ,direction: BİRLİK MH.,41.0274910005582,29.1500279999922,0
580051,200912,MENEKŞE CADDESİ,direction: ÜMRANİYE,41.0276850005583,29.1497529999922,0
292660,200921,KİVİLİK,direction: ANADOLU FENERİ,41.1967350005856,29.166914999992,0
292661,200922,KİVİLİK,direction: BEYKOZ,41.19673998046,29.1668049656767,0
292662,200931,EDEBALİ SOKAK,direction: ÜSKÜDAR,41.0803320005667,29.1548999999921,0
292663,200932,EDEBALİ SOKAK,direction: DUTDERE,41.0802469990337,29.1549860463997,0
509126,200941,TURGUT AYDIN İLKOKULU,direction: SARIGAZİ,41.0000130255652,29.1962360454412,0
509144,200942,TURGUT AYDIN İLKOKULU,direction: DUDULLU 11P,40.9999600005539,29.1960519999928,0
290063,200971,BENZİNLİK,direction: BAKLACI MH.,41.0463750005613,29.1773849999925,0
290064,200972,BENZİNLİK,direction: ÜMRANİYE,41.0450150005611,29.1774069999925,0
290065,200981,VAHDET SOKAK,direction: BAKLACI MH.,41.0496560005618,29.1760209999924,0
290066,200982,VAHDET SOKAK,direction: ÜMRANİYE 11ÇB,41.0498030005618,29.1754179999925,0
290067,200991,TURCAN SOKAK,direction: BAKLACI MH.,41.0518779991158,29.1721190000106,0
290068,200992,TURCAN SOKAK,direction: ÜMRANİYE 11ÇB,41.0519970005622,29.1718409999924,0
290069,201001,YUKARI BAKLACI GİRİŞİ,direction: BAKLACI MH.,41.0561570205874,29.1678290182345,0
290070,201002,YUKARI BAKLACI GİRİŞİ,direction: ÜMRANİYE 11ÇB,41.0560400005628,29.1680439999923,0
292664,201011,BODUR SOKAK,direction: BAKLACI MH.,41.057482000563,29.1633909999923,0
292665,201012,BODUR SOKAK,direction: ÜMRANİYE 11Ç,41.0574959558867,29.1632749957795,0
292666,201021,BAKLACI MERKEZ,direction: BAKLACI MH.,41.0609829689474,29.1613300179721,0
292667,201022,BAKLACI MERKEZ,direction: ÜMRANİYE 11Ç,41.0608930005636,29.1612159999922,0
292668,201031,BAKLACI CAMİİ,direction: BAKLACI MH.,41.064693029969,29.1584720291356,0
292669,201032,BAKLACI CAMİİ,direction: ÜMRANİYE 11Ç,41.0646000005642,29.1583859999922,0
292670,201041,FATİH CADDESİ,direction: BAKLACI 11Ç,41.0652160005643,29.1540659999921,0
292671,201042,FATİH CADDESİ,direction: ÜMRANİYE 11Ç,41.0651740005643,29.1539319999921,0
292672,201051,ÇAMLIK,direction: BAKLACI MH.,41.0662109932462,29.1501239584576,0
292673,201052,ÇAMLIK,direction: ÜMRANİYE 11Ç,41.0661070005645,29.1502769999921,0
292674,201061,TÜRKER İNANOĞLU İLKOKULU,direction: BAKLACI MH. 11Ç,41.0653930005643,29.145226999992,0
292675,201062,TÜRKER İNANOĞLU İLKOKULU,direction: ÜMRANİYE 11ÇB,41.0652670005643,29.145278999992,0
580052,201071,ÜMRANİYE CUMHURİYET MESLEKİ VE TEKNİK ANADOLU LİSESİ,direction: YENİŞEHİR.11M,41.0058140005548,29.1052909999916,0
580053,201072,ÜMRANİYE CUMHURİYET MESLEKİ VE TEKNİK ANADOLU LİSESİ,direction: ÜMRANİYE,41.0058040005548,29.1045799999915,0
681192,201081,ATA 2,direction: RASATHANE,41.0477540005614,29.076506999991,0
681193,201082,ATA 2,direction: KADIKÖY,41.0476580005614,29.076254999991,0
580054,201091,SELDA SOKAK,direction: BİRLİK MH.,41.0275379618813,29.1547799630338,0
580055,201092,SELDA SOKAK,direction: ÜSKÜDAR,41.0275940005583,29.1546879999922,0
292676,201101,HALAYIKDERE,direction: ANADOLU FENERİ,41.2003070015743,29.1702889701293,0
292677,201102,HALAYIKDERE,direction: BEYKOZ,41.2003779833342,29.1701660295084,0
290071,201111,MEZARLIK,direction: REŞADİYE KÖYÜ,41.0503670115013,29.2438750001589,0
290072,201112,MEZARLIK,direction: ÜSKÜDAR,41.0503430005619,29.2437719999933,0
290073,201121,SULTANSUYU,direction: REŞADİYE KÖYÜ,41.0526709903807,29.244095989043,0
290074,201122,SULTANSUYU,direction: ÜSKÜDAR,41.0527400005623,29.2439949999933,0
290075,201131,ATATÜRK BULVARI,direction: REŞADİYE KÖYÜ,41.0548280005627,29.2450289999933,0
290076,201132,ATATÜRK BULVARI,direction: ÜSKÜDAR 11A,41.0547400284153,29.2449539695111,0
290077,201141,185.SOKAK,direction: REŞADİYE KÖYÜ,41.0555820005628,29.2429939999932,0
290078,201142,185.SOKAK,direction: ÜSKÜDAR 11A,41.0554930005628,29.2426279999932,0
290079,201151,ŞEHİT MURAT,direction: REŞADİYE KÖYÜ,41.0636030005641,29.2409899999932,0
290080,201152,ŞEHİT MURAT,direction: ÜSKÜDAR,41.063091000564,29.2401949999932,0
290081,201161,AK SOKAK,direction: REŞADİYE KÖYÜ,41.0658189819409,29.2418910155292,0
290082,201162,AK SOKAK,direction: ÜSKÜDAR,41.0658800278045,29.2417379966184,0
290083,201171,KAVİSLİ YOL,direction: REŞADİYE KÖYÜ,41.0681120005648,29.2472969999933,0
290084,201172,KAVİSLİ YOL,direction: ÜSKÜDAR,41.0682100027709,29.2471610025071,0
290086,201182,ŞİFA SUYU,direction: ÜSKÜDAR,41.0734820005657,29.2485379999933,0
290087,201191,CUMHURİYET KÖYÜ SAPAĞI,direction: REŞADİYE,41.0765810005662,29.2510029999933,0
290088,201192,CUMHURİYET KÖYÜ SAPAĞI,direction: ÜSKÜDAR,41.0766610005662,29.2509559999933,0
290089,201201,REŞADİYE MERKEZ CAMİİ,direction: REŞADİYE KÖYÜ,41.0780589883525,29.2545170189566,0
290090,201202,REŞADİYE MERKEZ CAMİİ,direction: ÜSKÜDAR 11A,41.0781530005665,29.2544449999933,0
290091,201211,REŞADİYE KÖYÜ,direction: SONDURAK 11A,41.0793530005666,29.2573049999934,0
290092,201212,REŞADİYE KÖYÜ,direction: REŞADİYE,41.0792840260656,29.257323003812,0
509145,201221,SARIGAZİ KÖYİÇİ,direction: SON DURAK,41.0076530005551,29.214867999993,0
681194,201231,NURBABA SOKAK,direction: ÜSKÜDAR,41.0265910005581,29.0606219999907,0
681195,201232,NURBABA SOKAK,direction: BURHANİYE PERON,41.0265549898489,29.0607430121894,0
681196,201241,YUNUS EMRE,direction: BURHANİYE PERON,41.0288120005584,29.0621799999908,0
681197,201242,YUNUS EMRE,direction: ÜSKÜDAR,41.0286790005584,29.0621239999908,0
681198,201251,NURİBEY,direction: BURHANİYE PERON,41.0315920005588,29.0583319999907,0
681199,201252,NURİBEY,direction: ÜSKÜDAR,41.0314580005589,29.0582309999907,0
681200,201261,ZİYA PAŞA,direction: BURHANİYE PERON,41.0331840005591,29.0557719999906,0
681201,201262,ZİYA PAŞA,direction: ÜSKÜDAR,41.0331200005591,29.0557179999906,0
681202,201271,BURHANİYE MAHALLESİ,direction: BURHANİYE PERON,41.0346120005594,29.0541679999906,0
681203,201272,BURHANİYE MAHALLESİ,direction: ÜSKÜDAR,41.0347700005594,29.0541539999906,0
292678,201281,ÜMRANİYE İZCİLİK KAMPI,direction: KÜÇÜKSU,41.0604040005635,29.1094949999915,0
580056,201282,ÜMRANİYE İZCİLİK KAMPI,direction: ÜMRANİYE,41.0602140005635,29.1094059999915,0
580057,201291,DÖRTYOL,direction: K.K.BEKİR MAH.,41.050947000562,29.1009339999914,0
580058,201292,DÖRTYOL,direction: ÜSKÜDAR 11K,41.0511110246238,29.1008560383023,0
681204,201301,DÖRTYOL,direction: ESATPAŞA (11L),41.0145709929943,29.0854159558066,0
681205,201302,DÖRTYOL,direction: ÜSKÜDAR,41.0147050005562,29.0855389999912,0
681206,201311,ÜÇYOL,direction: ESATPAŞA 11L,41.0106069991167,29.0869610000112,0
681207,201312,ÜÇYOL,direction: ÜSKÜDAR 11L,41.0106250005555,29.0871719999913,0
580059,201331,BAHAR SOKAK,direction: ÜSKÜDAR 11K,41.0368459787952,29.0972419777411,0
580060,201332,BAHAR SOKAK,direction: SEYRANTEPE 11K,41.0368760087308,29.0973389800385,0
580061,201341,EŞREF BİTLİS CADDESİ,direction: ÜSKÜDAR,41.0350150005594,29.0991989999913,0
580062,201342,EŞREF BİTLİS CADDESİ,direction: K.K.BEKİR 11K,41.0338629584977,29.0979220159935,0
580063,201351,ERZİNCAN SOKAK,direction: K.K.BEKİR 11K,41.0390039723002,29.0974630448826,0
580064,201352,ERZİNCAN SOKAK,direction: ÜSKÜDAR 11K,41.03903200056,29.0973339999914,0
580065,201361,KUMRU SOKAK,direction: K.K.BEKİR,41.0399690005602,29.0969899999913,0
580066,201362,KUMRU SOKAK,direction: ÜSKÜDAR 11K,41.03995502333,29.0967959939531,0
580067,201371,ZEHRA-ASIM ÜLKER ANADOLU LİSESİ,direction: K.K.BEKİR,41.0411429799616,29.0951250048471,0
580068,201372,ZEHRA-ASIM ÜLKER ANADOLU LİSESİ,direction: ÜSKÜDAR 11K,41.0411120005604,29.0950239999913,0
580069,201381,ÖZ IŞIK CADDESİ,direction: K.K.BEKİR,41.0420060005605,29.0971649999913,0
580070,201382,ÖZ IŞIK CADDESİ,direction: ÜSKÜDAR 11K,41.0420830175849,29.0970159935276,0
